token;sentimento
STF conclui julgamento a favor do piso da enfermagem no setor público;1
Reforma tributária pode onerar alimentos básicos, alerta especialista;-1
Elon Musk diz que Twitter vai limitar leitura de publicações para evitar “manipulações”;-1
Etanol: preço cai em SP e outros 11 estados sobe em 12 e fica estável no DF, Paraíba e Amapá, diz ANP;0
Gasolina sobe 0,2% diesel cai 0,2% e GLP recua 0,3% na semana, mostra ANP;1
Haddad se reúne com varejo para explicar isenção para compras em sites internacionais;1
Proposta da reforma tributária terá impacto na cesta básica de cerca de 60%, diz Abras;-1
Lula assina MP e oficializa mais R$ 300 milhões para descontos em carros “populares”;1
Tarcísio pede ação de deputados paulistas contra texto da reforma tributária;-1
Principal adversária de Maduro na eleição da Venezuela já procura Wall Street para renegociar dívida;1
Ficou sabendo? Brent bate recorde de perda siderúrgicas chinesas dão alerta;-1
E mais: participação do dólar nas reservas globais sobe no 1º tri euro cai, diz FMI.;0
4 notícias da semana que elevaram ainda mais as apostas de corte na Selic;1
Programa apresenta ainda outros destaques do fechamento do mercado.;0
TRXF11 anuncia dividendos e compra de imóvel locado para Grupo Mateus;1
TRXF11 compra supermercado por R$ 60 mi, registra R$ 130 mi de captação em oferta em andamento e anuncia distribuição extra de R$ 11 mi em dividendos.;1
Maior baixa do Ibovespa em 2023: analistas apontam cautela para Alpargatas;-1
Primeiros meses do ano foram marcados por resultados considerados fracos da companhia.;-1
Taylor Swift: NFTs poderiam ter evitado cambistas de ingressos;-1
A emissão de ingressos em formato de NFT já é uma realidade em eventos como festivais e turnês de artistas renomados.;1
Engie leva lote de transmissão de energia e vence Eletrobras e Taesa;1
A disputa pelo lote contou com ofertas de dez outros proponentes, como Eletrobras, Taesa e ISA Cteep.;1
BB Asset fecha parceria com Trígono Capital;1
Foi o primeiro acordo da BB Asset -- líder do segmento de fundos no país, com 20% de market share, segundo ranking da Anbima -- com uma gestora independente.;1
TSE forma maioria para tornar Bolsonaro inelegível até 2030;-1
Defesa do ex-presidente disse que irá recorrer ao STF.;1
Petrobras reduz em 5,3% preços da gasolina para distribuidoras ação cai 5,1%;-1
Porcentagem corresponde a R$ 0,14 por litro do preço médio da estatal de venda de gasolina A para as distribuidoras.;0
Nubank tem rating elevado para ‘brAA+’ pela S&P Global;1
Agência diz que banco teve melhora em seu desempenho financeiro com lucro positivo nos últimos trimestres.;1
Faz sentido revermos a medida macroprudencial;1
A vice-governadora do Banco de Portugal, Clara Raposo, espera ainda este ano ajustar as medidas conhecidas como travão ao crédito.;1
Banco de Portugal prepara revisão da taxa de esforço no crédito à habitação;1
A subida dos juros de referência na Zona Euro fazem com que o supervisor considere que é o momento de avançar com uma revisão das regras conhecidas como travão ao crédito, segundo avança a vice-governadora Clara Raposo.;1
Secretário-geral do PCP pede a Costa consequências práticas da voz levantada ao BCE;0
António Costa afirmou na quinta-feira que não tem havido compreensão suficiente do BCE sobre a natureza do ciclo inflacionista.;-1
A OMS prepara-se para classificar como cancerígeno um dos adoçantes mais consumidos;-1
Os relatórios não são conclusivos, mas a Organização Mundial de Saúde considera aconselhável incluir o aspartame como um possível carcinógeno.;-1
Governo regional dos Açores garante que o turismo será sempre sustentável no arquipélago;1
A secretária regional do Turismo, Mobilidade e Infraestruturas dos Açores esteve na cerimónia comemorativa do voo inaugural da SATA com origem em Bilbao (Espanha).;0
Não sabe que destino de férias escolher? Aqui é onde o euro (e a sua carteira) valem mais;1
Se está a pensar numas férias no Brasil, México ou Polónia, é uma má ideia do ponto de vista cambial, já que as moedas destes países foram as que mais valorizaram contra a moeda única nos últimos 11 meses. Argentina, Turquia e Egito parecem ser a melhor opção.;0
Bielorrússia aprova alteração à lei que pode limitar media estrangeira;-1
O objetivo é melhorar os mecanismos de proteção dos interesses nacionais na esfera mediática;0
Antiga embaixada com ligações a Hollywood está à venda em Londres;0
A casa de luxo fica no coração da capital inglesa, em Marylebone, e já foi cenário de filmes de Hollywood. Está à venda por 21 milhões de libras.;0
Federação Nacional dos Médicos mantém greve em julho e não exclui agosto;-1
FNAM acusa o Ministério da Saúde de estar a tratar os médicos como bolachas;-1
Lancia Pu+Ra. Elegância pura;0
A partir de junho de 2024, seis mercados europeus fora de Itália ? Portugal, Espanha, França, Bélgica, Países Baixos e Alemanha ?, vão ser os primeiros a comercializar o novo Lancia Ypsilon, que assinala o renascimento europeu da marca no mundo automóvel, onde conta já com 116 anos de história.;0
BYD Dolphin: Elétrico chinês a partir de 29.900 euros;0
Segundo elétrico da marca chinesa chega em setembro.;1
SPA Cruise da Dior prepara-se para zarpar nas águas do Sena;0
O retiro de bem-estar no rio Sena, em Paris, acontecerá de 3 a 14 de julho.;0
Consultório as suas finanças. Leia as respostas às suas perguntas;0
O Negócios e o Doutor Finanças estabeleceram uma parceria com o objetivo de esclarecer as dúvidas colocadas pelos leitores em matéria de finanças pessoais. Todas as sextas-feiras, na edição impressa e aos sábados, no online, encontrará respostas às suas perguntas.;0
Super baile. Ou como o pimba pode ser cool;0
No próximo 29 de junho voltamos a poder ouvir o coletivo no MusicBox. De versões de Covarde de José Pinhal a reinterpretações de Bonga ou Amália.;0
Ministério Público investiga contratação de funcionários na Santa Casa de Lisboa;-1
Em causa estão contratações externas de funcionários na SCML, que entraram para a instituição no índice remuneratório mais alto, enquanto os demais trabalhadores permaneciam com as progressões congeladas.;-1
O que espera o setor do turismo do verão?;0
Os agentes do turismo antecipam novos recordes de visitantes e receitas este verão e já falam no melhor ano de sempre do setor. A forte procura por parte de turistas americanos, com maior poder de compra, será um dos motores de crescimento. Mas não só.;1
Um ano de Montenegro: liderança do PSD sem contestação espera teste das europeias;0
O presidente social-democrata completa um ano de liderança do partido na segunda-feira.;0
Inflação britânica não dá tréguas e Brexit também tem culpas no cartório;-1
O sobreaquecimento do mercado de trabalho tem tido um papel determinante nos níveis elevados da inflação britânica. O Goldman acredita que, aos poucos, a procura irá abrandar. No entanto, ainda vai demorar e por isso a inflação core do Reino Unido deve manter-se significativamente acima de outras economias desenvolvidas;-1
Transferências para 'offshores' sobem 10% para 7,4 mil milhões. Um terço foi para a Suíça;0
Ao longo do ano passado, um total de 16.141 entidades transferiram dinheiro para países, territórios e regiões que Portugal classifica como tendo um regime de tributação privilegiada mais favorável.;1
Quase mil detidos em tumultos em França;-1
Os tumultos urbanos em todo o país entraram no quarto dia consecutivo.;-1
FII VINO11 anuncia pagamento de R$ 0,31 por cota veja os detalhes;0
Carta na manga: Unipar (UNIP6) teria R$ 10 bi de bancos na proposta pela Braskem (BRKM5), diz jornal;0
Piso de enfermagem: STF conclui julgamento e dá parecer favorável ao pagamento veja o valor;1
Copel (CPLE6): privatização é questionada no STF em ação do PT;-1
FII BRCO11 pagará R$ 0,87 por cota em julho;0
FII XPCI11 anuncia pagamento de R$ 0,91 por cota veja os detalhes;0
Mega-Sena 2607 sorteia neste sábado (1º) prêmio de R$ 43 milhões veja como participar;0
Caixa Seguridade (CXSE3) tem alta de 30% na Bolsa no 1º semestre, acima do preço do IPO;1
FII XPLG11 anuncia rendimentos de R$ 0,79 em julho;0
Petrobras (PETR4) ganha ação bilionária e avião de Putin some do radar: veja mais lidas da semana;0
Ganância, imprudência, raiva: conheça e evite os principais erros dos traders;0
Se você faz operações no mercado financeiro, porém os resultados estão custando a aparecer, é muito provável que esteja cometendo algum dos erros clássicos dos traders. Para que você identifique o problema e encontre rapidamente a melhor solução, a ActivTrades listou alguns dos principais erros cometidos pelos traders. Veja se você comete algum deles: 1 [&#8230];0
Enem: número de inscritos é maior do que nas duas últimas edições;1
O Instituto Nacional de Estudos e Pesquisas Educacionais (Inep) divulgou ontem, 29, que o número de inscritos no Exame Nacional do Ensino Médio (Enem), cresceu 13,1% em relação à edição anterior, o número é ainda maior se comparado ao ano de 2021, ano seguinte ao início da pandemia de COVID-19.&#16 Ao total, foram 3,9 milhões [&#8230];1
Ibovespa fecha no vermelho pressionado por queda de ações da Petrobras;-1
As expectativas por cortes na Selic em agosto foram o contraponto positivo do Ibovespa nesta sexta-feira (30);1
Por 5 votos a 2, TSE torna Bolsonaro inelegível por oito anos;-1
Com o entendimento, o ex-presidente Bolsonáro está inelegível e impedido de disputar as eleições até o ano de 2030;-1
Leilão de linhas de transmissão vai gerar investimento de R$15 bilhões;1
O primeiro leilão de linhas de transmissão de 2023 negociou nove lotes para construção, operação e manutenção de 6.184 km;1
Shein, Shopee e Aliexpress: Compras internacionais ganham novas regras entenda;0
A mudança na regra para compras internacionais através de sites como Shein Shopee Aliexpress, passam a valer a partir de 1º de agosto;0
Criptomoedas já são aceitas em mais de mil estabelecimentos no Brasil;1
No Brasil, mais de mil empresas já aceitam moedas digitais como forma de pagamento, conforme levantou a plataforma CoinMap. A nível global, esse número salta para quase 30 mil estabelecimentos comerciais. Embora o principal uso das criptomoedas no Brasil seja para investimentos (segundo o Banco Central), o uso de ativos digitais como meio de pagamento [&#8230];1
A melhor maneira de começar na bolsa;1
