token;sentimento
Argentina vai congelar preço do petróleo em US$ 56 o barril para conter inflação;-1
Suzano (SUZB3) elevará preços de celulose em setembro, enquanto analistas divergem sobre futuro das ações;0
MPF confirma redução de multa da J&F, controladora da JBS (JBSS3), por ‘erro’ em cálculo do faturamento da empresa;-1
Agricultura confirma retirada do embargo do Japão a SC para ovos e carne de frango;1
Magno Alves, ex-jogador do Fluminense, perde R$ 32 milhões em pirâmide de criptomoedas;-1
Ibovespa tem 1ª sessão de alta de agosto e interrompe sequência histórica de 13 baixas na semana, cai 2,25%;1
Ibovespa Ao Vivo: Petrobras (PETR4), bancos e varejo garantem 1ª alta da Bolsa em agosto Vale (VALE3) puxa quedas;1
Dólar fecha em baixa na sessão, mas acumula alta de mais de 1% na semana;-1
Tebet diz que “cerco se fechou” contra Bolsonaro e defende apreensão de passaporte do ex-presidente;-1
Grandes bancos mantêm consignado do INSS após redução do teto de juros;0
Ficou sabendo? Microsoft planeja novos serviço de IA parceria da Visa;1
E mais: China anuncia medidas para revitalizar mercado de ações.;1
Ações da Adyen desabam a menor nível em 3 anos após ‘venda apocalíptica’;-1
Fracos ganhos levantaram preocupações sobre a processadora de pagamentos holandesa.;-1
Mesmo com Selic caindo, Greystar vê aluguel mais atraente que venda de imóveis;-1
Com taxa de financiamento ainda alta, empresa se prepara para lançamento de seu primeiro empreendimento no Brasil.;0
SoftBank adquire fatia da Vision Fund na Arm com avaliação de US$ 64 bilhões;0
Os detalhes da transação serão revelados na segunda-feira (21), quando a Arm tornar público seu pedido para entrada no mercado de ações.;0
Governo brasileiro quer aumentar imposto sobre criptomoedas;-1
Se a medida provisória for sancionada, mais tributos serão cobrados a partir do dia 1º de janeiro de 2024.;-1
Bitcoin cai forte com notícia de redução da posição da SpaceX, de Elon Musk;-1
Expectativas sobre Fed e China também puxaram maior liquidação mais forte desde o caso FTX.;1
Ação da São Martinho: BB Investimentos corta recomendação para neutra;0
Companhia sucroenergética reportou lucro caixa de R$ 124,7 milhões nos resultados do 1º trimestre do ano-safra 2023/2024.;0
Ibovespa fecha em alta após sequência histórica de 13 quedas dólar cai;1
Na semana, o principal indicador da bolsa acumulou queda de 2,25%.;-1
Chinesa Evergrande pede proteção contra falência nos EUA;-1
Destino da incorporadora tem amplas implicações para o sistema chinês e pode refletir em bancos, fundos e donos de imóveis;-1
Eurofarma cria fundo para investir até US$ 100 mi em biotechs;1
Expectativa é fazer aportes de venture capital em até 25 startups em cinco anos.;1
EUA, Japão e Coreia do Sul denunciam comportamento perigoso e agressivo da China;-1
O presidente norte-americano, Joe Biden, reuniu-se hoje nesta cimeira com o seu homólogo sul-coreano, Yoon Suk Yeol, e com o primeiro-ministro japonês, Fumio Kishida, em Camp David, a residência de campo presidencial no Estado de Maryland.;0
Bolsas dos EUA entre ganhos e perdas à procura de direção. Cautela impera;0
As bolsas norte-americanas encerraram com uma tendência mista. Os investidores continuam muito prudentes.;0
Bitcoin renova mínimos de dois meses pressionada por empresa de Musk;-1
As preocupações relativas ao futuro das políticas monetárias dos bancos centrais e à economia chinesa, a par da notícia do The Wall Street Journal sobre a venda de bitcoins por parte da SpaceX, estão a pressionar o mercado.;-1
The Fladgate Partnership compra 3 quintas e entra no segmento dos vinhos tranquilos;0
Questionada sobre o valor do negócio, fonte oficial da The Fladgate Partnership disse à Lusa que os montantes não vão ser revelados publicamente.;0
Resultados da Farfetch dão passo atrás e ações tombam para mínimos históricos;-1
Os resultados da retalhista liderada pelo português José Neves desapontaram os analistas e o mercado, tendo as ações caído para 2,71 dólares, durante a sessão desta sexta-feira na bolsa de Nova Iorque. Desde o início do ano, os títulos afundaram 37,6%.;-1
Country Garden propõe pagar 100 mil yuans a obrigacionistas para adiar vencimento;-1
Gigante do imobiliário chinês quer prolongar o prazo da obrigação com vencimento a 2 de setembro e, para tal, propõe pagar 100 mi yuans a cada detentor da dívida.;-1
Europa remata semana em queda com China e política monetária em foco;0
Acompanhe aqui, minuto a minuto, o desempenho dos mercados durante esta sexta-feira.;0
Paragrafino Pescada vai do Nu Calm ao Emplastro por causa de Meghan;0
Esta crónica, além das parvoíces habituais, tem desta vez uma componente formativa,  explicando o porquê de os comerciantes retirarem um centavo ao preço cheio.;0
Energéticas ligam Lisboa à ficha em dia vermelho na Europa;-1
A bolsa portuguesa encerrou a última sessão da semana com uma ligeiríssima subida, graças a um sprint final. O setor energético foi a chave para que o PSI terminasse o dia em contraciclo com as quedas vividas nas principais praças europeias.;1
Da guerra comercial à guerra dos subsídios;0
Os estudos têm demonstrado repetidamente que os subsídios prejudicam frequentemente os países que os aplicam. Essas medidas tendem a reduzir a concorrência, a sufocar a inovação, a aumentar os custos e a prejudicar os exportadores que dependem de fatores de produção importados.;-1
Dona dos supermercados Pão de Açúcar entra em incumprimento;-1
A francesa Casino, que detém a cadeia de supermercados com o mesmo nome em França e a rede Pão de Açúcar no Brasil, falhou o pagamento de dívida. A Moody's colocou a empresa centenária em default parcial após esta não ter pago os juros de uma emissão obrigacionista.;-1
Preço da gasolina vai subir na próxima semana. Gasóleo desce;0
Gasolina vai ficar três cêntimos por litro mais cara, enquanto o gasóleo vai descer um cêntimo.;0
